strike_type,interval_days,brokerage_fee,mean_mse,std_mse,min_mse,max_mse,total_observations
ATM,1,0.0,0.08433402923221485,0.053922238608692254,0.0531822795085103,0.1465980630151094,3
ATM,1,0.05,0.6245774698939108,0.4046892530432893,0.1574716340700471,0.8696410408369575,3
ATM,2,0.0,2.641456538614447,2.011364884266328,0.5833906699381164,4.602617338538582,3
ATM,2,0.05,5.329062640448171,4.041652836180657,0.6910842435854726,8.097301147040728,3
ATM,7,0.0,4.571921360176429,2.9469381964804016,1.2804898071744517,6.965503089106332,3
ATM,7,0.05,6.690270967604351,4.746754156698252,1.2377203343748762,9.900223571450752,3
ATM,10,0.0,14.191256713668613,14.053748775706024,1.058652700752039,29.013398382487367,3
ATM,10,0.05,14.126532567408901,13.849745297001029,1.0493458893219068,28.63731733865284,3
ITM,1,0.0,0.08730142778394993,0.10815233806070211,0.0232047968540677,0.2121702402071343,3
ITM,1,0.05,0.284476967908789,0.4291275291917984,0.0282657297816971,0.7798934735565672,3
ITM,2,0.0,0.9005999742194833,1.2857159662647024,0.1571501388843429,2.3852163073733497,3
ITM,2,0.05,2.117774885552594,3.3585387081814564,0.1714063891698732,5.995872129268918,3
ITM,7,0.0,1.9257339907132085,2.7937740749856563,0.1543680223062617,5.146341071443001,3
ITM,7,0.05,2.5367817905623173,3.8518848605548466,0.1688059352805481,6.981373150173051,3
ITM,10,0.0,5.4238199904859,8.843688834412221,0.2255981078094946,15.635072492761834,3
ITM,10,0.05,5.3037247949921875,8.640389097328345,0.2251209944700775,15.2802413170873,3
OTM,1,0.0,4.393789741401426,7.5500120047300046,0.0333484025756153,13.111792509474505,3
OTM,1,0.05,1331.5518324466673,2305.182758374847,0.6268642961122692,3993.347604420974,3
OTM,2,0.0,5.2998029559660225,0.5202601922335809,4.751096004702277,5.785961008623645,3
OTM,2,0.05,9.523494029339245,0.5795621222400654,8.867772573015854,9.967174800340068,3
OTM,7,0.0,10.738798712391187,3.96293287217948,7.545059690320337,15.173776791395277,3
OTM,7,0.05,12.864700736740469,4.696660437361685,8.946059241197943,18.070836213740616,3
OTM,10,0.0,42.477962775684006,49.34383989836761,8.778170563358294,99.11551449951664,3
OTM,10,0.05,43.0185991439267,49.16209710307056,9.490822765994997,99.45398780785936,3
