strike_type,interval_days,brokerage_fee,mean_mse,std_mse,min_mse,max_mse
ATM,1,0.0,0.2965768840290809,0.12041298880167357,0.142246615802845,0.5209477307327764
ATM,1,0.05,1.3197045365842235,1.2305326943583341,0.4635989550065047,3.604995686016496
ATM,2,0.0,0.7676780524164201,0.4146907150685979,0.2976075970935075,1.6443564536999642
ATM,2,0.05,1.9091844059044678,1.1753497164053648,0.8258518680684915,4.331867532478044
ATM,7,0.0,3.697759957614531,3.2655603838436553,0.9348957190095012,11.99652457569605
ATM,7,0.05,5.9242755057239815,4.5626130210934015,1.9104507854876471,17.805525191981868
ATM,10,0.0,6.310126870080583,3.8527265699708866,1.587179773753918,12.35379161523326
ATM,10,0.05,9.391741847773481,5.714185714463652,2.9619112051305128,19.759854406938764
ITM,1,0.0,0.3361126933455561,0.09458996222720013,0.2209780802706436,0.515033286924168
ITM,1,0.05,1.3317063842768302,1.058469999185853,0.3551244426804062,3.604995686016496
ITM,2,0.0,0.8958379257104564,0.39587485029517383,0.4103278091100732,1.6443564536999642
ITM,2,0.05,2.2218989820372297,1.185742162470926,0.8183133461139862,4.331867532478044
ITM,7,0.0,4.216561870376038,2.9914829545496007,1.7261324310846735,11.99652457569605
ITM,7,0.05,6.686275204891321,4.417000995967765,2.6911761523884032,17.805525191981868
ITM,10,0.0,6.409759096201903,4.361029354139637,2.055721800801314,12.13628669995838
ITM,10,0.05,10.998012149379058,7.501323528092725,2.513628794860535,23.30886037518288
OTM,1,0.0,0.3819942689881196,0.31584802778748683,0.104878981288577,1.0918228563865635
OTM,1,0.05,0.6454266440729877,0.37164351663550677,0.3030714016939853,1.5390424673868115
OTM,2,0.0,0.8432044738860588,0.7382211131051782,0.2036375013156414,2.542457759771755
OTM,2,0.05,1.2762223360811074,0.7739741261366923,0.5686291713353162,3.25674837746345
OTM,7,0.0,2.8298243155901135,1.9689225173707072,0.73827296625568,6.37897934827675
OTM,7,0.05,3.6817690704879937,1.9704293580236507,1.3324071581344743,7.098463656426797
OTM,10,0.0,4.353738144026672,3.1259489472476583,1.3202941198464082,10.305818073415502
OTM,10,0.05,5.456783056109797,3.542806090288661,1.773864314018991,12.25467283648692
