Date,Underlying,C165,C170,C185,C190,C205,P165,P170,P185,P190,P205
2025-09-16,174.88,15,12.1,4.92,3.45,1.17,4.41,6.05,14.1,17.45,
2025-09-17,170.29,11.95,9.05,3.3,2.24,0.75,5.67,7.85,17.0,20.98,
2025-09-18,176.24,16.38,12.77,5.24,3.65,1.2,3.88,5.45,12.74,16.45,29.2
2025-09-19,176.67,15.69,12.8,5.1,3.58,1.12,3.65,5.1,12.45,16.6,
2025-09-22,183.61,21.8,18.2,9.04,6.85,2.8,2.61,3.74,9.45,12.75,23.33
2025-09-23,178.43,18,14.35,6.3,4.6,1.64,3.6,5.05,11.98,15.05,26.35
2025-09-24,176.97,16.35,12.95,5.35,3.75,1.18,3.67,5.17,12.55,16.9,28.65
2025-09-25,177.69,16.86,13.02,5.5,3.8,1.18,3.45,4.8,12.45,16.0,31.07
2025-09-26,178.19,16.5,13.1,5.05,3.43,0.93,2.96,4.27,11.71,15.3,
2025-09-29,181.85,19.45,15.15,6.52,4.5,1.23,2.24,3.25,8.95,12.6,24.48
2025-09-30,186.58,24.07,19.81,9.5,6.98,2.35,1.82,2.62,7.12,9.62,20.55
2025-10-01,187.24,24.6,20.34,9.75,7.1,2.27,1.66,2.38,6.69,9.13,19.36
2025-10-02,188.89,26,21.61,10.55,7.7,2.5,1.47,2.09,5.95,8.1,17.94
2025-10-03,187.62,24.74,20.44,9.25,6.55,1.81,1.52,2.19,6.18,8.4,20.0
2025-10-06,185.54,23.07,18.85,8.4,5.9,1.69,1.88,2.65,7.25,9.75,19.75
2025-10-07,185.04,22.4,18.1,7.65,5.28,1.34,1.67,2.42,7.0,9.72,20.4
2025-10-08,189.11,25.21,21.4,10.1,7.3,2.15,1.19,1.76,5.35,7.58,18.05
2025-10-09,192.57,29.57,24.6,12.3,9.05,2.88,0.98,1.43,4.35,6.15,15.05
2025-10-10,183.16,23.07,17.25,7.47,5.12,1.25,2.71,3.75,8.95,11.65,20.98
2025-10-13,188.32,24.85,20.55,9.3,6.4,1.56,1.26,1.85,5.5,7.55,17.72
2025-10-14,180.03,18.85,13.98,5,3.18,0.66,2.38,3.45,9.5,12.74,24.85
2025-10-15,179.83,17.5,13.55,4.79,3,0.62,2.26,3.32,9.55,12.75,26.5
2025-10-16,181.81,18.6,14.85,5.55,3.45,0.63,1.86,2.77,8.35,11.3,24.4
2025-10-17,183.22,19.67,15.52,5.5,3.35,0.54,1.35,2.1,6.95,9.9,22.5
2025-10-20,182.64,19.25,14.65,4.5,2.51,0.31,1.11,1.75,6.61,9.6,21.67
2025-10-21,181.16,17.64,13.25,3.43,1.77,0.2,1.04,1.7,6.92,10.25,23.54
2025-10-22,180.28,16.4,12.15,2.88,1.43,0.17,1.03,1.72,7.35,11.1,25.12
2025-10-23,182.16,18.05,13.5,3.07,1.43,0.14,0.58,1.05,5.7,9.03,22.8
2025-10-24,186.26,21.8,17.05,4.9,2.49,0.19,0.35,0.56,3.45,6.15,18.95
2025-10-27,191.49,26.75,22,8.65,5.35,0.87,0.36,0.52,2.08,3.72,14.5
2025-10-28,201.03,36.36,31.36,16.8,12.31,2.98,0.1,0.17,0.64,1.16,6.83
2025-10-29,207.04,42.09,37,22.5,17.8,6.2,0.09,0.15,0.42,0.67,3.8
2025-10-30,202.89,37.6,32.55,17.95,13.13,1.12,0.03,0.04,0.12,0.17,3.15
2025-10-31,202.49,39.16,33.7,17.45,12.7,0.01,0.01,0.01,0.01,0.01,2.42
