Date,Underlying,C165,C170,C185,C190,C205,P165,P170,P185,P190,P205
2025-08-28,180.17,19,15.5,6.56,4.61,1.46,2.78,3.95,9.82,13.35,25.79
2025-08-29,174.18,14.2,11,4,2.75,0.83,4.56,6.25,14.1,18.11,
2025-09-02,170.78,11.95,8.88,2.94,1.91,0.54,5.09,7.02,16.49,20.6,34.35
2025-09-03,170.62,11.2,8.25,2.54,1.65,0.48,5.02,7,16.39,21.1,33.98
2025-09-04,171.66,11.7,8.52,2.52,1.56,0.41,4.23,6.15,16.1,19.66,34.26
2025-09-05,167.02,8.6,5.9,1.55,0.93,0.27,5.9,8.3,19.1,23.89,38.2
2025-09-08,168.31,9.05,6.26,1.57,0.97,0.29,5.08,6.77,17.6,20.6,
2025-09-09,170.76,10.6,7.5,1.96,1.16,0.3,4.0,5.9,15.53,20.65,
2025-09-10,177.33,15.6,11.85,3.95,2.48,0.59,2.49,3.75,10.85,14.16,
2025-09-11,177.17,15.2,11.4,3.55,2.17,0.49,2.2,3.4,10.61,13.16,
2025-09-12,177.82,15.45,11.45,3.45,2.08,0.45,1.92,3,10,13.94,
2025-09-15,177.75,14.93,11.4,3.35,2.0,0.42,1.96,3.2,10.59,13.85,
2025-09-16,174.88,12.85,9.45,2.56,1.55,0.36,2.56,3.9,12.5,16.2,29.07
2025-09-17,170.29,9.61,6.47,1.41,0.82,0.23,3.67,5.7,15.11,19.85,
2025-09-18,176.24,13.92,10.05,2.6,1.54,0.32,2.01,3.2,10.8,14.25,28.73
2025-09-19,176.67,13.37,10.05,2.4,1.35,0.25,1.76,2.82,10.78,14.65,28.91
2025-09-22,183.61,20.1,15.75,5.75,3.78,0.92,0.97,1.63,6.7,9.65,22.6
2025-09-23,178.43,15.58,11.43,3.25,1.84,0.35,1.45,2.51,9.28,13.08,26.7
2025-09-24,176.97,14,9.9,2.25,1.19,0.19,1.47,2.52,10.05,13.9,25.8
2025-09-25,177.69,14.5,10.1,2.28,1.18,0.19,1.24,2.27,9.35,13.5,26.68
2025-09-26,178.19,14.3,10.15,1.87,0.84,0.13,0.91,1.67,8.46,12.5,
2025-09-29,181.85,17.65,13.05,2.89,1.34,0.17,0.53,0.95,5.75,9.25,23.4
2025-09-30,186.58,22.35,17.53,5.55,3.06,0.38,0.41,0.64,3.7,6.25,19.95
2025-10-01,187.24,22.9,18.14,5.61,2.95,0.29,0.36,0.56,3.1,5.4,18.25
2025-10-02,188.89,24.32,19.55,6.45,3.45,0.31,0.27,0.4,2.29,4.25,16.5
2025-10-03,187.62,22.84,17.95,5.15,2.38,0.14,0.27,0.39,2.36,4.8,17.65
2025-10-06,185.54,20.76,16,3.6,1.42,0.08,0.18,0.34,2.91,5.7,19.15
2025-10-07,185.04,20.25,15.35,2.79,0.88,0.04,0.12,0.22,2.62,5.8,19.5
2025-10-08,189.11,24.2,19,5.12,1.86,0.02,0.05,0.1,0.87,2.64,16.52
2025-10-09,192.57,27.55,22.55,7.7,3.35,0.04,0.06,0.08,0.22,0.69,12.6
2025-10-10,183.16,18.15,13.15,0.08,0.01,0.01,0.01,0.02,2.08,6.85,18.55
