strike_type,interval_days,brokerage_fee,mean_mse,std_mse,min_mse,max_mse,mean_default_ratio,max_default_ratio
ATM,1,0.0,1.7014570388674497,1.2860362175641455,0.0968566425628262,3.6510684854676985,0.0,0.0
ATM,1,0.05,22.683103534057302,19.708428103299187,1.2021622364635112,53.92026262389937,0.0,0.0
ATM,2,0.0,3.4108512617311306,2.6603346983511442,0.1482558490281741,7.654499449405641,0.0,0.0
ATM,2,0.05,26.16133898037536,22.167059630448883,0.4771525931179172,59.94616958881067,0.0,0.0
ATM,7,0.0,11.829345103783218,9.804397190823343,0.504069886695792,28.187873449540728,0.0,0.0
ATM,7,0.05,35.86474769983219,27.80362518853986,0.6574715712661139,78.11246720774228,0.0,0.0
ATM,10,0.0,12.125045450862162,9.67185334884829,0.63008735836974,31.256579662338225,0.0,0.0
ATM,10,0.05,37.530959744176144,28.908021685962726,0.8132001909874389,87.2011940592218,0.0,0.0
ITM,1,0.0,0.7425131791854873,0.5908252059613539,0.066070246627328,1.7482103362323178,0.0,0.0
ITM,1,0.05,9.017005930151836,12.565641755052864,0.626204403274922,37.1056709396177,0.0,0.0
ITM,2,0.0,1.5089765947348008,1.274741015227801,0.132140493254656,3.953968648636972,0.0,0.0
ITM,2,0.05,10.530141208658623,14.331675230478522,0.6487065789353271,47.11323629978184,0.0,0.0
ITM,7,0.0,4.6256869088397,3.904906485485034,0.4228495784148993,10.412397471066573,0.0,0.0
ITM,7,0.05,21.210743330777323,42.81736792198387,0.6827524703030572,141.59955523740692,0.0,0.0
ITM,10,0.0,6.152872230749158,5.405740270896354,0.5285619730186242,14.52496383734598,0.0,0.0
ITM,10,0.05,12.011350663180277,9.95315215450427,0.9325352715217924,33.51382195400547,0.0,0.0
OTM,1,0.0,0.858779386755962,0.6252262573468158,0.2375278332916126,2.044690241714184,0.0,0.0
OTM,1,0.05,13.454041123750494,10.32188770088598,3.688430138899135,29.610283952946578,0.0,0.0
OTM,2,0.0,1.6759282786913041,1.228546067152361,0.4792713372053098,4.282513586747058,0.0,0.0
OTM,2,0.05,14.503398374977087,11.566290445689875,3.494428614821676,32.27627335581682,0.0,0.0
OTM,7,0.0,5.8158136850705,4.7319501273779,1.407318607158612,16.285086528390558,0.0,0.0
OTM,7,0.05,17.7805903065601,13.3069600330498,2.6645935613899243,41.356831492034544,0.0,0.0
OTM,10,0.0,5.993056713727351,4.3838946466112025,0.9064270131991656,14.022585894350142,0.0,0.0
OTM,10,0.05,21.653369014963207,17.340243189408177,3.8077732808271425,48.76913005479157,0.0,0.0
